Pos,Pts,Team name,Best,2nd best,Provenance
180,0,Les Disquetaires,116 (0) Mars Attaque,,
181,0,Petits bonnets,90 (0) Mars Attaque,,
182,0,J'aime ton corps,113 (0) Mars Attaque,,
183,0,Les Bisons,77 (0) Mars Attaque,,
184,0,Fraises Poilues,99 (0) Mars Attaque,,
185,0,Mirego,71 (0) Mars Attaque,,
186,0,Les Fous du Nord,108 (0) Mars Attaque,,
187,0,White noise,115 (0) Mars Attaque,,
188,0,New Disk on the Block,107 (0) Mars Attaque,,
189,0,Johnny rutabagas,69 (0) Mars Attaque,,
190,0,Marmottes Volantes,62 (0) Mars Attaque,,
191,0,Zevra zone,105 (0) Mars Attaque,,
192,0,Mr Freeze,96 (0) Mars Attaque,,
193,0,Double Zebra,74 (0) Mars Attaque,,
194,0,Mean Machine,97 (0) Mars Attaque,,
195,0,Just catch it,81 (0) Mars Attaque,,
196,0,Maigres en soute,64 (0) Mars Attaque,,
197,0,NinJardin,70 (0) Mars Attaque,,
198,0,Rockstar,79 (0) Mars Attaque,,
199,0,Hammock,65 (0) Mars Attaque,,
200,0,Alain Térieur,94 (0) Mars Attaque,,
201,0,Laurie-Ann,98 (0) Mars Attaque,,
202,0,Left Shark,93 (0) Mars Attaque,,
203,0,Cobra Kai,34 (0) Mars Attaque,,
204,0,Discobols,40 (0) Mars Attaque,,
205,0,Les Capitaines,83 (0) Mars Attaque,,
206,0,Disco pimp,87 (0) Mars Attaque,,
207,0,Les Benchwarmers,114 (0) Mars Attaque,,
208,0,Free Runners,89 (0) Mars Attaque,,
209,0,Funners Gonna Fun,36 (0) Mars Attaque,,
210,0,Honey Badger,50 (0) Mars Attaque,,
211,0,Les Spineux,109 (0) Mars Attaque,,
212,0,Pirates,110 (0) Mars Attaque,,
213,0,Cold Fx,63 (0) Mars Attaque,,
214,0,Disc Catchers,106 (0) Mars Attaque,,
215,0,Team Smashbros,59 (0) Mars Attaque,,
