Pos,Pts,Team name,Best,2nd best,Provenance
1,1900,Ninjax,1 (1050) Movember,2 (850) Coup de Foudre,"Trois-Rivières,Montréal,Saguenay"
2,1762,P'tits Ménés,1 (1000) Bye Bye,3 (762) Coup de Foudre,"Gatineau,Sherbrooke,Montréal,Québec"
3,1762,Turbo Fluo,1 (1000) Coup de Foudre,3 (762) Bye Bye,"La Province,Sherbrooke,Montréal,Québec"
4,1516,Trillium Carnage,2 (850) Bye Bye,1 (666) Bonne annee,"Ontario,Ottawa"
5,1461,Padawan,2 (850) Movember,6 (611) Bye Bye,"Trois-Rivières,Sherbrooke,Montréal"
6,1398,Legends,4 (699) Coup de Foudre,4 (699) Movember,Québec
7,1350,Les Outs,4 (699) Bye Bye,5 (651) Movember,Québec
8,1340,Bergers,3 (762) Movember,7 (578) Bye Bye,"Gatineau,Sherbrooke,Montréal,Québec"
9,1134,Chainsaw,6 (611) Coup de Foudre,9 (523) Bye Bye,"Trois-Rivières,Ottawa,Québec"
10,1131,Rookies,5 (651) Coup de Foudre,11 (480) Movember,Québec
11,1098,Sugar Mammies,8 (549) Bye Bye,8 (549) Movember,Montréal
12,1079,Tux,1 (666) Oktober Disk,15 (413) Coup de Foudre,"Trois-Rivières,Québec"
13,1050,Mess around,8 (549) Coup de Foudre,10 (501) Movember,Montréal
14,1006,Commando,7 (578) Movember,14 (428) Coup de Foudre,Sherbrooke
15,948,KGB,11 (480) Bye Bye,3 (468) La Flotte,Québec
16,941,Caribou,11 (480) Coup de Foudre,12 (461) Movember,Sherbrooke
17,914,International,10 (501) Bye Bye,15 (413) Movember,"Trois-Rivières,Sherbrooke,Montréal"
18,843,Captain Morgan,13 (444) Coup de Foudre,16 (399) Bye Bye,"Trois-Rivières,Rimouski,Montréal,Québec"
19,834,Rejected,12 (461) Bye Bye,18 (373) Movember,Montréal
20,834,Sweet Dreams,17 (435) Bye Bye,16 (399) Movember,Trois-Rivières
21,822,Dynamite,12 (461) Coup de Foudre,19 (361) Movember,"Gatineau,Ottawa"
22,811,Squeezy Lemons,2 (541) Oktober Disk,9 (270) Bonne annee,St-Jean-sur-Richelieu
23,808,Voodoo,3 (468) Oktober Disk,21 (340) Coup de Foudre,"Trois-Rivières,Sherbrooke"
24,758,Diskover,17 (385) Movember,18 (373) Bye Bye,Trois-Rivières
25,749,Wasabi,16 (399) Coup de Foudre,20 (350) Bye Bye,Montréal
26,734,Chiefs,18 (373) Coup de Foudre,19 (361) Bye Bye,"Ste-Adèle,Montréal"
27,705,Sunrise,5 (376) Oktober Disk,22 (329) Movember,Québec
28,700,8-piece Luggage Set,17 (385) Coup de Foudre,7 (315) Bonne annee,"Gatineau,Hull,Ottawa"
29,693,Mon équipe,4 (416) Oktober Disk,28 (277) Bye Bye,Sherbrooke
30,680,Sales-Add,21 (340) Bye Bye,21 (340) Movember,Québec
31,654,Kraken,19 (361) Coup de Foudre,26 (293) Bye Bye,Sherbrooke
32,650,Absolute,27 (335) Movember,7 (315) La Flotte,"Sherbrooke,Montréal"
33,648,FantasDisc 4,6 (343) Oktober Disk,31 (305) Coup de Foudre,"Sherbrooke,Québec"
34,586,Poupix,26 (293) Coup de Foudre,26 (293) Movember,Montréal
35,579,Ons'Kasse,25 (302) Bye Bye,28 (277) Movember,"Sherbrooke,Montréal"
36,562,Trick or Treat,23 (320) Coup de Foudre,33 (242) Bye Bye,Québec
37,541,Mess Nationale,2 (541) Bonne annee,,Montréal
38,533,Marcel Leboeuf,27 (285) Coup de Foudre,32 (248) Movember,"Longueuil,Montréal"
39,515,Ta mère,37 (267) Movember,32 (248) Bye Bye,"Drum,Québec,Long,Sherbrooke,Thet,Saguenay"
40,504,Oktopus,30 (262) Bye Bye,33 (242) Coup de Foudre,Sherbrooke
41,494,DisTrakFUL,7 (315) Oktober Disk,44 (179) Movember,Repentigny
42,480,Morues,10 (251) Oktober Disk,35 (229) Movember,Gaspé
43,470,Citrons pressés,9 (270) Oktober Disk,40 (200) Movember,St-Jean-sur-Richelieu
44,468,Family Feud,3 (468) Bonne annee,,Ottawa
45,468,Disklock,40 (250) Coup de Foudre,12 (218) Oktober Disk,Trois-Rivières
46,464,AuRéoLeS,34 (235) Coup de Foudre,35 (229) Bye Bye,Montréal
47,457,Piranhas,11 (234) Oktober Disk,36 (223) Coup de Foudre,Sherbrooke
48,455,Connect 4,28 (277) Coup de Foudre,15 (178) La Flotte,"Sherbrooke,Montréal"
49,452,Ani's chicks,35 (229) Coup de Foudre,36 (223) Movember,Montréal
50,417,Booms,15 (228) Oktober Disk,42 (189) Coup de Foudre,"Sherbrooke,Montréal,Saguenay"
51,416,G's Pot,4 (416) Bonne annee,,Guelph
52,379,Team You-Hou,14 (190) Oktober Disk,42 (189) Movember,St-Jean-sur-Richelieu
53,376,Watch the Thrown,5 (376) Bonne annee,,Ottawa
54,356,Wernesgruner,8 (291) Oktober Disk,28 (65) Bonne annee,"Saguenay-Lac-St-Jean,Sherbrooke,Québec"
55,334,Wannabus,46 (169) Bye Bye,47 (165) Movember,Montréal
56,331,Grues d’acajou,43 (184) Movember,51 (147) Bye Bye,Saguenay
57,326,Bretzels,16 (166) Oktober Disk,48 (160) Movember,Montréal
58,311,Nostalgia,24 (311) Bye Bye,,Montréal
59,311,Gushmu,24 (311) Bye Bye,37 (0) Mars Attaque,Québec
