Pos,Pts,Team name,Best,2nd best,Provenance
1,1986,Ninjax,1 (1050) Movember,2 (936) Coup de Foudre,"Trois-Rivières,Montréal,Saguenay"
2,1881,P'tits Ménés,1 (1000) Bye Bye,3 (881) Coup de Foudre,"Gatineau,Sherbrooke,Montréal,Québec"
3,1881,Turbo Fluo,1 (1000) Coup de Foudre,3 (881) Bye Bye,"La Province,Sherbrooke,Montréal,Québec"
4,1681,Padawan,2 (936) Movember,6 (745) Bye Bye,"Trois-Rivières,Sherbrooke,Montréal"
5,1662,Legends,4 (831) Coup de Foudre,4 (831) Movember,Québec
6,1617,Les Outs,4 (831) Bye Bye,5 (786) Movember,Québec
7,1587,Bergers,3 (881) Movember,7 (706) Bye Bye,"Gatineau,Sherbrooke,Montréal,Québec"
8,1571,Trillium Carnage,2 (936) Bye Bye,9 (635) Movember,"Ontario,Ottawa"
9,1380,Chainsaw,6 (745) Coup de Foudre,9 (635) Bye Bye,"Trois-Rivières,Ottawa,Québec"
10,1358,Rookies,5 (786) Coup de Foudre,11 (572) Movember,Québec
11,1338,Sugar Mammies,8 (669) Bye Bye,8 (669) Movember,Montréal
12,1272,Mess around,8 (669) Coup de Foudre,10 (603) Movember,Montréal
13,1195,Commando,7 (706) Movember,14 (489) Coup de Foudre,Sherbrooke
14,1115,Caribou,11 (572) Coup de Foudre,12 (543) Movember,Sherbrooke
15,1066,International,10 (603) Bye Bye,15 (463) Movember,"Trois-Rivières,Sherbrooke,Montréal"
16,1061,KGB,11 (572) Bye Bye,14 (489) Movember,Québec
17,963,Tux,1 (500) Oktober Disk,15 (463) Coup de Foudre,"Trois-Rivières,Québec"
18,954,Captain Morgan,13 (515) Coup de Foudre,16 (439) Bye Bye,"Trois-Rivières,Rimouski,Montréal,Québec"
19,937,Rejected,12 (543) Bye Bye,18 (394) Movember,Montréal
20,916,Dynamite,12 (543) Coup de Foudre,19 (373) Movember,"Gatineau,Ottawa"
21,905,Sweet Dreams,17 (466) Bye Bye,16 (439) Movember,Trois-Rivières
22,810,Diskover,17 (416) Movember,18 (394) Bye Bye,Trois-Rivières
23,792,Wasabi,16 (439) Coup de Foudre,20 (353) Bye Bye,Montréal
24,767,Chiefs,18 (394) Coup de Foudre,19 (373) Bye Bye,"Ste-Adèle,Montréal"
25,732,Voodoo,3 (398) Oktober Disk,21 (334) Coup de Foudre,"Trois-Rivières,Sherbrooke"
26,680,8-piece Luggage Set,17 (416) Coup de Foudre,25 (264) Movember,"Gatineau,Hull,Ottawa"
27,668,Sales-Add,21 (334) Bye Bye,21 (334) Movember,Québec
28,655,Squeezy Lemons,2 (444) Oktober Disk,9 (211) Bonne annee,St-Jean-sur-Richelieu
29,637,Sunrise,5 (322) Oktober Disk,22 (315) Movember,Québec
30,622,Kraken,19 (373) Coup de Foudre,26 (249) Bye Bye,Sherbrooke
31,577,Mon équipe,4 (358) Oktober Disk,28 (219) Bye Bye,Sherbrooke
32,545,Absolute,27 (284) Movember,7 (261) La Flotte,"Sherbrooke,Montréal"
33,520,FantasDisc 4,6 (290) Oktober Disk,31 (230) Coup de Foudre,"Sherbrooke,Québec"
34,498,Poupix,26 (249) Coup de Foudre,26 (249) Movember,Montréal
35,483,Ons'Kasse,25 (264) Bye Bye,28 (219) Movember,"Sherbrooke,Montréal"
36,464,Trick or Treat,23 (297) Coup de Foudre,14 (167) Bonne annee,Québec
37,444,Mess Nationale,2 (444) Bonne annee,,Montréal
38,402,Marcel Leboeuf,27 (234) Coup de Foudre,32 (168) Movember,"Longueuil,Montréal"
39,398,Family Feud,3 (398) Bonne annee,,Ottawa
40,358,G's Pot,4 (358) Bonne annee,,Guelph
41,348,Oktopus,30 (192) Bye Bye,33 (156) Coup de Foudre,Sherbrooke
42,333,Ta mère,32 (168) Bye Bye,37 (165) Movember,"Drum,Québec,Long,Sherbrooke,Thet,Saguenay"
43,324,Morues,10 (189) Oktober Disk,35 (135) Movember,Gaspé
44,322,Connect 4,28 (219) Coup de Foudre,15 (103) La Flotte,"Sherbrooke,Montréal"
45,322,Watch the Thrown,5 (322) Bonne annee,,Ottawa
46,322,DisTrakFUL,7 (261) Oktober Disk,44 (61) Movember,Repentigny
47,300,Citrons pressés,9 (211) Oktober Disk,40 (89) Movember,St-Jean-sur-Richelieu
48,294,Piranhas,11 (169) Oktober Disk,36 (125) Coup de Foudre,Sherbrooke
49,289,Disklock,12 (150) Oktober Disk,40 (139) Coup de Foudre,Trois-Rivières
50,280,Nostalgia,24 (280) Bye Bye,,Montréal
51,280,AuRéoLeS,34 (145) Coup de Foudre,35 (135) Bye Bye,Montréal
52,280,Gushmu,24 (280) Bye Bye,37 (0) Mars Attaque,Québec
53,260,Ani's chicks,35 (135) Coup de Foudre,36 (125) Movember,Montréal
54,241,Wernesgruner,8 (235) Oktober Disk,28 (6) Bonne annee,"Saguenay-Lac-St-Jean,Sherbrooke,Québec"
55,235,Lemon Drop,8 (235) La Flotte,,Québec
56,227,Booms,15 (153) Oktober Disk,42 (74) Coup de Foudre,"Sherbrooke,Montréal,Saguenay"
