Pos,Pts,Team name,Rg,Best,2nd best,3rd best
1,2005,Ninjax,"Trois-Rivières,Montréal,Saguenay",1 (1050) Movember,2 (955) Coup de Foudre,1 (666) La Flotte
2,1916,P'tits Ménés,"Gatineau,Sherbrooke,Montréal,Québec",1 (1000) Bye Bye,3 (916) Coup de Foudre,6 (817) Movember
3,1916,Turbo Fluo,"La Province,Sherbrooke,Montréal,Québec",1 (1000) Coup de Foudre,3 (916) Bye Bye,4 (0) Mars Attaque
4,1772,Padawan,"Trois-Rivières,Sherbrooke,Montréal",2 (955) Movember,6 (817) Bye Bye,7 (788) Coup de Foudre
5,1762,Legends,Québec,4 (881) Coup de Foudre,4 (881) Movember,5 (848) Bye Bye
6,1729,Les Outs,Québec,4 (881) Bye Bye,5 (848) Movember,5 (0) Mars Attaque
7,1704,Bergers,"Gatineau,Sherbrooke,Montréal,Québec",3 (916) Movember,7 (788) Bye Bye,9 (785) Coup de Foudre
8,1690,Trillium Carnage,"Ontario,Ottawa",2 (955) Bye Bye,9 (735) Movember,1 (666) Bonne annee
9,1552,Chainsaw,"Trois-Rivières,Ottawa,Québec",6 (817) Coup de Foudre,9 (735) Bye Bye,14 (620) Movember
10,1534,Rookies,Québec,5 (848) Coup de Foudre,11 (686) Movember,13 (641) Bye Bye
11,1522,Sugar Mammies,Montréal,8 (761) Bye Bye,8 (761) Movember,10 (710) Coup de Foudre
12,1471,Mess around,Montréal,8 (761) Coup de Foudre,10 (710) Movember,15 (599) Bye Bye
13,1408,Commando,Sherbrooke,7 (788) Movember,14 (620) Coup de Foudre,4 (530) La Flotte
14,1349,Caribou,Sherbrooke,11 (686) Coup de Foudre,12 (663) Movember,14 (620) Bye Bye
15,1309,International,"Trois-Rivières,Sherbrooke,Montréal",10 (710) Bye Bye,15 (599) Movember,15 (0) Mars Attaque
16,1306,KGB,Québec,11 (686) Bye Bye,14 (620) Movember,3 (570) La Flotte
17,1265,Tux,"Trois-Rivières,Québec",1 (666) Oktober Disk,15 (599) Coup de Foudre,5 (495) La Flotte
18,1221,Captain Morgan,"Trois-Rivières,Rimouski,Montréal,Québec",13 (641) Coup de Foudre,16 (580) Bye Bye,9 (428) La Flotte
19,1205,Rejected,Montréal,12 (663) Bye Bye,18 (542) Movember,8 (404) Bonne annee
20,1191,Sweet Dreams,Trois-Rivières,17 (611) Bye Bye,16 (580) Movember,6 (462) La Flotte
21,1187,Dynamite,"Gatineau,Ottawa",12 (663) Coup de Foudre,19 (524) Movember,6 (462) Bonne annee
22,1103,Diskover,Trois-Rivières,17 (561) Movember,18 (542) Bye Bye,13 (338) La Flotte
23,1087,Wasabi,Montréal,16 (580) Coup de Foudre,20 (507) Bye Bye,24 (443) Movember
24,1066,Chiefs,"Ste-Adèle,Montréal",18 (542) Coup de Foudre,19 (524) Bye Bye,20 (507) Movember
25,1060,Voodoo,"Trois-Rivières,Sherbrooke",3 (570) Oktober Disk,21 (490) Coup de Foudre,27 (399) Bye Bye
26,993,8-piece Luggage Set,"Gatineau,Hull,Ottawa",17 (561) Coup de Foudre,7 (432) Bonne annee,25 (428) Movember
27,992,Squeezy Lemons,St-Jean-sur-Richelieu,2 (614) Oktober Disk,9 (378) Bonne annee,30 (360) Coup de Foudre
28,980,Sales-Add,Québec,21 (490) Bye Bye,21 (490) Movember,22 (474) Coup de Foudre
29,969,Sunrise,Québec,5 (495) Oktober Disk,22 (474) Movember,25 (428) Coup de Foudre
30,937,Kraken,Sherbrooke,19 (524) Coup de Foudre,26 (413) Bye Bye,38 (268) Movember
31,916,Mon équipe,Sherbrooke,4 (530) Oktober Disk,28 (386) Bye Bye,31 (347) Movember
32,881,Absolute,"Sherbrooke,Montréal",27 (449) Movember,7 (432) La Flotte,32 (335) Coup de Foudre
33,859,FantasDisc 4,"Sherbrooke,Québec",6 (462) Oktober Disk,31 (397) Coup de Foudre,34 (311) Movember
34,826,Poupix,Montréal,26 (413) Coup de Foudre,26 (413) Movember,11 (331) Bonne annee
35,814,Ons'Kasse,"Sherbrooke,Montréal",25 (428) Bye Bye,28 (386) Movember,29 (372) Coup de Foudre
36,781,Trick or Treat,Québec,23 (458) Coup de Foudre,33 (323) Bye Bye,14 (319) Bonne annee
37,734,Marcel Leboeuf,"Longueuil,Montréal",27 (399) Coup de Foudre,32 (335) Movember,57 (0) Mars Attaque
38,683,Oktopus,Sherbrooke,30 (360) Bye Bye,33 (323) Coup de Foudre,41 (239) Movember
39,663,Ta mère,"Drum,Québec,Long,Sherbrooke,Thet,Saguenay",32 (335) Bye Bye,37 (328) Movember,39 (258) Coup de Foudre
40,654,Morues,Gaspé,10 (354) Oktober Disk,35 (300) Movember,39 (258) Bye Bye
41,643,DisTrakFUL,Repentigny,7 (432) Oktober Disk,44 (211) Movember,48 (178) Bye Bye
42,637,Connect 4,"Sherbrooke,Montréal",28 (386) Coup de Foudre,15 (251) La Flotte,15 (251) Bonne annee
43,626,Citrons pressés,St-Jean-sur-Richelieu,9 (378) Oktober Disk,40 (248) Movember,56 (0) Mars Attaque
44,620,Piranhas,Sherbrooke,11 (331) Oktober Disk,36 (289) Coup de Foudre,39 (258) Movember
45,614,Mess Nationale,Montréal,2 (614) Bonne annee,,
46,611,AuRéoLeS,Montréal,34 (311) Coup de Foudre,35 (300) Bye Bye,13 (288) Bonne annee
47,607,Disklock,Trois-Rivières,12 (309) Oktober Disk,40 (298) Coup de Foudre,47 (186) Bye Bye
48,589,Ani's chicks,Montréal,35 (300) Coup de Foudre,36 (289) Movember,37 (278) Bye Bye
49,570,Family Feud,Ottawa,3 (570) Bonne annee,,
50,530,Booms,"Sherbrooke,Montréal,Saguenay",15 (301) Oktober Disk,42 (229) Coup de Foudre,50 (163) Bye Bye
51,530,G's Pot,Guelph,4 (530) Bonne annee,,
52,498,Team You-Hou,St-Jean-sur-Richelieu,14 (269) Oktober Disk,42 (229) Movember,
53,495,Watch the Thrown,Ottawa,5 (495) Bonne annee,,
54,490,Wernesgruner,"Saguenay-Lac-St-Jean,Sherbrooke,Québec",8 (404) Oktober Disk,28 (86) Bonne annee,
55,443,Nostalgia,Montréal,24 (443) Bye Bye,,
56,443,Gushmu,Québec,24 (443) Bye Bye,37 (0) Mars Attaque,
57,412,Bretzels,Montréal,16 (234) Oktober Disk,48 (178) Movember,
58,404,Lemon Drop,Québec,8 (404) La Flotte,,
59,380,Wannabus,Montréal,46 (194) Bye Bye,47 (186) Movember,
60,376,Grues d’acajou,Saguenay,43 (220) Movember,51 (156) Bye Bye,24 (125) La Flotte
61,331,Nordet,Rimouski,49 (171) Bye Bye,21 (160) La Flotte,81 (0) Mars Attaque
62,323,Robot Rock,Montréal,33 (323) Movember,,
63,309,Delta Force,Sherbrooke,12 (309) Bonne annee,,
