Pos,Pts,Team name,Best,2nd best,Provenance
1,1900,Ninjax,1 (1050) Movember,2 (850) Coup de Foudre,"Trois-Rivières,Montréal,Saguenay"
2,1762,Turbo Fluo,1 (1000) Coup de Foudre,3 (762) Bye Bye,"La Province,Sherbrooke,Montréal,Québec"
3,1762,P'tits Ménés,1 (1000) Bye Bye,3 (762) Coup de Foudre,"Gatineau,Sherbrooke,Montréal,Québec"
4,1461,Padawan,2 (850) Movember,6 (611) Bye Bye,"Trois-Rivières,Sherbrooke,Montréal"
5,1398,Legends,4 (699) Coup de Foudre,4 (699) Movember,Québec
6,1373,Trillium Carnage,2 (850) Bye Bye,9 (523) Movember,"Ontario,Ottawa"
7,1350,Les Outs,4 (699) Bye Bye,5 (651) Movember,Québec
8,1340,Bergers,3 (762) Movember,7 (578) Bye Bye,"Gatineau,Sherbrooke,Montréal,Québec"
9,1134,Chainsaw,6 (611) Coup de Foudre,9 (523) Bye Bye,"Trois-Rivières,Ottawa,Québec"
10,1131,Rookies,5 (651) Coup de Foudre,11 (480) Movember,Québec
11,1098,Sugar Mammies,8 (549) Bye Bye,8 (549) Movember,Montréal
12,1050,Mess around,8 (549) Coup de Foudre,10 (501) Movember,Montréal
13,1006,Commando,7 (578) Movember,14 (428) Coup de Foudre,Sherbrooke
14,941,Caribou,11 (480) Coup de Foudre,12 (461) Movember,Sherbrooke
15,914,International,10 (501) Bye Bye,15 (413) Movember,"Trois-Rivières,Sherbrooke,Montréal"
16,913,Tux,1 (500) Oktober Disk,15 (413) Coup de Foudre,"Trois-Rivières,Québec"
17,908,KGB,11 (480) Bye Bye,14 (428) Movember,Québec
18,843,Captain Morgan,13 (444) Coup de Foudre,16 (399) Bye Bye,"Trois-Rivières,Rimouski,Montréal,Québec"
19,834,Rejected,12 (461) Bye Bye,18 (373) Movember,Montréal
20,834,Sweet Dreams,17 (435) Bye Bye,16 (399) Movember,Trois-Rivières
21,822,Dynamite,12 (461) Coup de Foudre,19 (361) Movember,"Gatineau,Ottawa"
22,758,Diskover,17 (385) Movember,18 (373) Bye Bye,Trois-Rivières
23,749,Wasabi,16 (399) Coup de Foudre,20 (350) Bye Bye,Montréal
24,734,Chiefs,18 (373) Coup de Foudre,19 (361) Bye Bye,"Ste-Adèle,Montréal"
25,691,Voodoo,3 (351) Oktober Disk,21 (340) Coup de Foudre,"Trois-Rivières,Sherbrooke"
26,687,8-piece Luggage Set,17 (385) Coup de Foudre,25 (302) Movember,"Gatineau,Hull,Ottawa"
27,680,Sales-Add,21 (340) Bye Bye,21 (340) Movember,Québec
28,668,Squeezy Lemons,2 (406) Oktober Disk,30 (262) Coup de Foudre,St-Jean-sur-Richelieu
29,654,Kraken,19 (361) Coup de Foudre,26 (293) Bye Bye,Sherbrooke
30,631,Sunrise,22 (329) Movember,25 (302) Coup de Foudre,Québec
31,589,Mon équipe,4 (312) Oktober Disk,28 (277) Bye Bye,Sherbrooke
32,586,Poupix,26 (293) Coup de Foudre,26 (293) Movember,Montréal
33,583,Absolute,27 (335) Movember,32 (248) Coup de Foudre,"Sherbrooke,Montréal"
