Pos,Official,Pts,Team name,Best,2nd best,Provenance
1,1 (0),1833,Trillium Carnage,1 (1000) Coup de Foudre,2 (833) Bye Bye,
2,2 (0),1736,Louis Luncheonette,1 (1000) Bye Bye,3 (736) Movember,
3,3 (0),1736,Outs,1 (1000) Movember,3 (736) Bye Bye,
4,4 (0),1550,NinjaX,2 (883) Movember,4 (667) Coup de Foudre,
5,5 (0),1446,Turbo Fluo,2 (833) Coup de Foudre,5 (613) Bye Bye,
6,6 (0),1269,Vallée des Licornes,3 (736) Coup de Foudre,7 (533) Movember,
7,7 (0),1237,Sugar Mommies,4 (667) Movember,6 (570) Bye Bye,
8,8 (0),1226,Rebellion,5 (613) Movember,5 (613) Coup de Foudre,
9,9 (0),1168,Squeezy Lemon,4 (667) Bye Bye,8 (501) Movember,
10,10 (0),1005,UltiBattleDisc l'équipe d'Ultimate Récréatif ,7 (533) Bye Bye,9 (472) Movember,
11,13 (2),1000,Joyeux compagnons,1 (500) La Flotte,1 (500) Oktober Disk,
12,11 (-1),957,KGB,7 (533) Coup de Foudre,11 (424) Bye Bye,
13,12 (-1),948,Qg,8 (501) Bye Bye,10 (447) Coup de Foudre,
14,17 (3),824,Quality Control,11 (424) Movember,2 (400) Bonne annee,
15,14 (-1),797,Chainsaw,10 (447) Movember,15 (350) Bye Bye,
16,15 (-1),797,9h50,10 (447) Bye Bye,15 (350) Movember,
17,16 (-1),787,Douze Singes,12 (403) Movember,13 (384) Coup de Foudre,
18,18 (0),717,Light Weight,11 (424) Coup de Foudre,19 (293) Bye Bye,
19,19 (0),709,Piggy Pogo Hippo,12 (403) Bye Bye,18 (306) Coup de Foudre,
20,20 (0),700,Disklock,14 (366) Coup de Foudre,16 (334) Movember,
21,21 (0),696,Marianne,12 (403) Coup de Foudre,19 (293) Movember,
22,24 (2),669,L'équipe Pick-Up,2 (400) La Flotte,21 (269) Coup de Foudre,
23,23 (0),661,James Street Bulldogs,3 (342) Bonne annee,17 (319) Coup de Foudre,
24,22 (-2),653,Grosses,16 (334) Coup de Foudre,17 (319) Movember,
25,31 (6),600,Squall,1 (300) CEQU4 Carleton,4 (300) La Flotte,
26,25 (-1),562,Commando,19 (293) Coup de Foudre,21 (269) Movember,
27,26 (-1),558,Connect4,4 (300) Oktober Disk,22 (258) Bye Bye,
28,27 (-1),533,Plan B,18 (306) Movember,25 (227) Bye Bye,
29,28 (-1),527,Evolve,21 (269) Bye Bye,22 (258) Coup de Foudre,
30,32 (2),505,Quarks,27 (258) Coup de Foudre,23 (247) Movember,
31,29 (-2),505,Carl Carmoni,5 (268) Oktober Disk,24 (237) Coup de Foudre,
32,30 (-2),505,Chiefs,22 (258) Movember,23 (247) Coup de Foudre,
33,33 (0),474,VTM,23 (247) Bye Bye,25 (227) Coup de Foudre,
34,41 (7),446,4-Da-Win,1 (250) Victo Bowl,35 (196) Coup de Foudre,
35,40 (5),434,Bleu Marin,1 (250) CEQU4 Gaspe,9 (184) La Flotte,
36,35 (-1),397,hamer time,24 (237) Movember,33 (160) Bye Bye,
37,34 (-3),395,Glenncellents,7 (220) La Flotte,31 (175) Movember,
38,36 (-2),384,Arm & Hammer,8 (201) Oktober Disk,30 (183) Coup de Foudre,
39,50 (11),376,Subasko,2 (188) CEQU4 Carleton,2 (188) CEQU4 Gaspe,
40,37 (-3),366,Bolt,30 (183) Movember,30 (183) Bye Bye,
41,45 (4),363,Vieux jeux,2 (188) Victo Bowl,31 (175) Bye Bye,
42,38 (-4),355,Hurakan,28 (200) Bye Bye,11 (155) Oktober Disk,
43,39 (-4),351,Weedeaters,9 (184) Oktober Disk,32 (167) Bye Bye,
44,51 (7),342,Zizanie,3 (342) Oktober Disk,,
45,52 (7),342,Brûlés,3 (342) La Flotte,,
46,47 (1),325,The Astronauts,32 (217) Coup de Foudre,41 (108) Movember,
47,44 (-3),322,Gusto,27 (208) Movember,40 (114) Coup de Foudre,
48,43 (-5),321,Bazooka,31 (175) Coup de Foudre,35 (146) Bye Bye,
49,42 (-7),321,Jackalopes,10 (168) La Flotte,34 (153) Coup de Foudre,
50,46 (-4),306,Sasquatch!,8 (201) La Flotte,5 (105) La Viree,
51,53 (2),300,Quick and Dirty,4 (300) Bonne annee,,
52,48 (-4),299,Pisse-Minute,29 (191) Coup de Foudre,41 (108) Bye Bye,
53,56 (3),292,Hermaphrodisques,6 (292) La Flotte,,
54,49 (-5),280,Pirhanas,33 (160) Coup de Foudre,39 (120) Movember,
