Pos,Pts,Team name,Best,2nd best,Provenance,Official
1,1936,Trillium Carnage,1 (1000) Coup de Foudre,2 (936) Bye Bye,,1 (0)
2,1881,Louis Luncheonette,1 (1000) Bye Bye,3 (881) Movember,,2 (0)
3,1881,Outs,1 (1000) Movember,3 (881) Bye Bye,,3 (0)
4,1817,NinjaX,2 (986) Movember,4 (831) Coup de Foudre,,4 (0)
5,1722,Turbo Fluo,2 (936) Coup de Foudre,5 (786) Bye Bye,,5 (0)
6,1587,Vallée des Licornes,3 (881) Coup de Foudre,7 (706) Movember,,6 (0)
7,1576,Sugar Mommies,4 (831) Movember,6 (745) Bye Bye,,7 (0)
8,1572,Rebellion,5 (786) Movember,5 (786) Coup de Foudre,,8 (0)
9,1500,Squeezy Lemon,4 (831) Bye Bye,8 (669) Movember,,9 (0)
10,1341,UltiBattleDisc l'équipe d'Ultimate Récréatif ,7 (706) Bye Bye,9 (635) Movember,,10 (0)
11,1332,Joyeux compagnons,1 (666) La Flotte,1 (666) Oktober Disk,,13 (2)
12,1278,KGB,7 (706) Coup de Foudre,11 (572) Bye Bye,,11 (-1)
13,1272,Qg,8 (669) Bye Bye,10 (603) Coup de Foudre,,12 (-1)
14,1164,Quality Control,2 (592) Bonne annee,11 (572) Movember,,17 (3)
15,1066,Chainsaw,10 (603) Movember,15 (463) Bye Bye,,14 (-1)
16,1066,9h50,10 (603) Bye Bye,15 (463) Movember,,15 (-1)
17,1058,Douze Singes,12 (543) Movember,13 (515) Coup de Foudre,,16 (-1)
18,978,L'équipe Pick-Up,2 (592) La Flotte,6 (386) Oktober Disk,,24 (6)
19,946,James Street Bulldogs,3 (530) Bonne annee,17 (416) Coup de Foudre,,23 (4)
20,945,Light Weight,11 (572) Coup de Foudre,19 (373) Bye Bye,,18 (-2)
21,937,Piggy Pogo Hippo,12 (543) Bye Bye,18 (394) Coup de Foudre,,19 (-2)
22,928,Disklock,14 (489) Coup de Foudre,16 (439) Movember,,20 (-2)
23,916,Marianne,12 (543) Coup de Foudre,19 (373) Movember,,21 (-2)
24,859,Squall,4 (476) La Flotte,1 (383) CEQU4 Carleton,,31 (7)
