Pos,Pts,Team name,Best,2nd best,Provenance
158,0,Teddy bears,54 (0) Mars Attaque,,
159,0,Bang-A-Rang,85 (0) Mars Attaque,,
160,0,Frégates,84 (0) Mars Attaque,,
161,0,Scoober Divers,88 (0) Mars Attaque,,
162,0,Frisbee Crushers,76 (0) Mars Attaque,,
163,0,R-D-Hell,95 (0) Mars Attaque,,
164,0,Left Shark,93 (0) Mars Attaque,,
165,0,Petits bonnets,90 (0) Mars Attaque,,
166,0,NinJardin,70 (0) Mars Attaque,,
167,0,J'aime ton corps,113 (0) Mars Attaque,,
168,0,Goats,86 (0) Mars Attaque,,
169,0,Mirego,71 (0) Mars Attaque,,
170,0,Violet Volvox,111 (0) Mars Attaque,,
171,0,New Disk on the Block,107 (0) Mars Attaque,,
172,0,Johnny rutabagas,69 (0) Mars Attaque,,
173,0,Double Zebra,74 (0) Mars Attaque,,
174,0,Mean Machine,97 (0) Mars Attaque,,
175,0,Just catch it,81 (0) Mars Attaque,,
176,0,Rockstar,79 (0) Mars Attaque,,
177,0,Hammock,65 (0) Mars Attaque,,
178,0,Alain Térieur,94 (0) Mars Attaque,,
179,0,Laurie-Ann,98 (0) Mars Attaque,,
180,0,Fous du Nord,108 (0) Mars Attaque,,
181,0,Cobra Kai,34 (0) Mars Attaque,,
182,0,Discobols,40 (0) Mars Attaque,,
183,0,Disco pimp,87 (0) Mars Attaque,,
184,0,Bisons,77 (0) Mars Attaque,,
185,0,Free Runners,89 (0) Mars Attaque,,
186,0,Funners Gonna Fun,36 (0) Mars Attaque,,
187,0,Jolies,46 (0) Mars Attaque,,
188,0,Cold Fx,63 (0) Mars Attaque,,
189,0,Disc Catchers,106 (0) Mars Attaque,,
