Pos,Pts,Team name,Best,2nd best,Provenance,Official
1,1850,Trillium Carnage,1 (1000) Coup de Foudre,2 (850) Bye Bye,,1 (0)
2,1762,Louis Luncheonette,1 (1000) Bye Bye,3 (762) Movember,,2 (0)
3,1762,Outs,1 (1000) Movember,3 (762) Bye Bye,,3 (0)
4,1599,NinjaX,2 (900) Movember,4 (699) Coup de Foudre,,4 (0)
5,1501,Turbo Fluo,2 (850) Coup de Foudre,5 (651) Bye Bye,,5 (0)
6,1340,Vallée des Licornes,3 (762) Coup de Foudre,7 (578) Movember,,6 (0)
7,1310,Sugar Mommies,4 (699) Movember,6 (611) Bye Bye,,7 (0)
8,1302,Rebellion,5 (651) Movember,5 (651) Coup de Foudre,,8 (0)
9,1248,Squeezy Lemon,4 (699) Bye Bye,8 (549) Movember,,9 (0)
10,1101,UltiBattleDisc l'équipe d'Ultimate Récréatif ,7 (578) Bye Bye,9 (523) Movember,,10 (0)
11,1058,KGB,7 (578) Coup de Foudre,11 (480) Bye Bye,,11 (0)
12,1050,Qg,8 (549) Bye Bye,10 (501) Coup de Foudre,,12 (0)
13,1000,Joyeux compagnons,1 (500) La Flotte,1 (500) Oktober Disk,,13 (0)
14,914,Chainsaw,10 (501) Movember,15 (413) Bye Bye,,14 (0)
15,914,9h50,10 (501) Bye Bye,15 (413) Movember,,15 (0)
16,905,Douze Singes,12 (461) Movember,13 (444) Coup de Foudre,,16 (0)
17,886,Quality Control,11 (480) Movember,2 (406) Bonne annee,,17 (0)
18,841,Light Weight,11 (480) Coup de Foudre,19 (361) Bye Bye,,18 (0)
19,834,Piggy Pogo Hippo,12 (461) Bye Bye,18 (373) Coup de Foudre,,19 (0)
20,827,Disklock,14 (428) Coup de Foudre,16 (399) Movember,,20 (0)
21,822,Marianne,12 (461) Coup de Foudre,19 (361) Movember,,21 (0)
22,784,Grosses,16 (399) Coup de Foudre,17 (385) Movember,,22 (0)
23,770,James Street Bulldogs,17 (385) Coup de Foudre,17 (385) Bye Bye,,23 (0)
24,749,L'équipe Pick-Up,2 (406) La Flotte,26 (343) Bye Bye,,24 (0)
25,701,Commando,19 (361) Coup de Foudre,21 (340) Movember,,25 (0)
26,675,Plan B,18 (373) Movember,25 (302) Bye Bye,,27 (1)
27,669,Evolve,21 (340) Bye Bye,22 (329) Coup de Foudre,,28 (1)
28,655,Quarks,27 (335) Coup de Foudre,23 (320) Movember,,32 (4)
29,649,Chiefs,22 (329) Movember,23 (320) Coup de Foudre,,30 (1)
30,641,Connect4,22 (329) Bye Bye,4 (312) Oktober Disk,,26 (-4)
31,622,VTM,23 (320) Bye Bye,25 (302) Coup de Foudre,,33 (2)
32,612,Squall,4 (312) La Flotte,1 (300) CEQU4 Carleton,,31 (-1)
33,593,Carl Carmoni,24 (311) Coup de Foudre,5 (282) Oktober Disk,,29 (-4)
34,553,hamer time,24 (311) Movember,33 (242) Bye Bye,,35 (1)
35,529,4-Da-Win,35 (279) Coup de Foudre,1 (250) Victo Bowl,,41 (6)
36,524,Bolt,30 (262) Movember,30 (262) Bye Bye,,37 (1)
37,492,The Astronauts,32 (298) Coup de Foudre,41 (194) Movember,,47 (10)
38,492,Glenncellents,31 (255) Movember,7 (237) La Flotte,,34 (-4)
39,488,Hurakan,28 (277) Bye Bye,38 (211) Coup de Foudre,,38 (-1)
40,485,Gusto,27 (285) Movember,40 (200) Coup de Foudre,,44 (4)
41,484,Bazooka,31 (255) Coup de Foudre,35 (229) Bye Bye,,43 (2)
42,483,Weedeaters,32 (248) Bye Bye,34 (235) Movember,,39 (-3)
43,481,Arm & Hammer,30 (262) Coup de Foudre,8 (219) Oktober Disk,,36 (-7)
44,474,Jackalopes,42 (239) Movember,34 (235) Coup de Foudre,,42 (-2)
45,464,Pisse-Minute,29 (270) Coup de Foudre,41 (194) Bye Bye,,48 (3)
46,453,Bleu Marin,1 (250) CEQU4 Gaspe,9 (203) La Flotte,,40 (-6)
47,447,Pirhanas,33 (242) Coup de Foudre,39 (205) Movember,,49 (2)
48,430,Vieux jeux,31 (255) Bye Bye,2 (175) Victo Bowl,,45 (-3)
49,403,Sasquatch!,8 (219) La Flotte,43 (184) Coup de Foudre,,46 (-3)
50,400,Frisbeenomiale,38 (211) Bye Bye,42 (189) Coup de Foudre,,57 (7)
51,400,Patriotes,40 (200) Movember,40 (200) Bye Bye,,55 (4)
52,391,Lebœuf Saloon,37 (217) Bye Bye,45 (174) Coup de Foudre,,64 (12)
53,383,Martine joue au frisbee,36 (223) Movember,48 (160) Bye Bye,,63 (10)
54,378,Sony Discmans,41 (194) Coup de Foudre,43 (184) Bye Bye,,66 (12)
55,373,Battleship,37 (217) Coup de Foudre,49 (156) Movember,,54 (-1)
56,351,Zizanie,3 (351) Oktober Disk,,,51 (-5)
57,351,Brûlés,3 (351) La Flotte,,,52 (-5)
58,350,Subasko,2 (175) CEQU4 Carleton,2 (175) CEQU4 Gaspe,,50 (-8)
59,349,Farfadets,11 (176) La Flotte,57 (173) Movember,,59 (0)
60,336,Dynamite,32 (248) Movember,21 (88) Bonne annee,,61 (1)
61,321,Swaggerwalk,47 (165) Coup de Foudre,49 (156) Bye Bye,,72 (11)
62,317,Thunderstruck,45 (174) Bye Bye,52 (143) Movember,,74 (12)
63,312,Quick and Dirty,4 (312) Bonne annee,,,53 (-10)
64,310,Tourista,44 (179) Coup de Foudre,55 (131) Movember,,76 (12)
65,308,Hermaphrodisques,6 (308) La Flotte,,,56 (-9)
66,304,Mohicans,47 (165) Bye Bye,53 (139) Coup de Foudre,,80 (14)
67,296,Bangarang,46 (169) Bye Bye,56 (127) Coup de Foudre,,81 (14)
68,295,Quidam,48 (160) Movember,54 (135) Coup de Foudre,,82 (14)
69,294,DiskTrackFUL,50 (151) Bye Bye,52 (143) Coup de Foudre,,83 (14)
70,291,Apocalypse,49 (156) Coup de Foudre,54 (135) Movember,,86 (16)
71,282,Force toilette,5 (282) La Flotte,49 (0) Mars Attaque,,60 (-11)
72,282,ECU 23,5 (282) Bonne annee,,,62 (-10)
73,281,LumberJacks,44 (179) Movember,19 (102) Bonne annee,,69 (-4)
74,277,Mockingbirds,28 (277) Movember,,,70 (-4)
75,272,Nordisques,48 (160) Coup de Foudre,60 (112) Movember,,90 (15)
76,259,Nordiscs,13 (153) La Flotte,6 (106) La Viree,,58 (-18)
77,258,TC 23,6 (258) Bonne annee,,,65 (-12)
78,250,Hot Wheels,1 (250) La Viree,,,77 (-1)
79,250,Dion chante noël,1 (250) Attache t'ajjuq,,,78 (-1)
80,237,Sharknado,7 (237) Oktober Disk,,,67 (-13)
81,234,Qrinqué,46 (169) Coup de Foudre,25 (65) Oktober Disk,,85 (4)
82,231,Moldus,55 (131) Coup de Foudre,4 (100) Victo Bowl,,75 (-7)
83,229,BAZOOKA,35 (229) Movember,41 (0) Mars Attaque,,87 (4)
84,219,G'S Pot,8 (219) Bonne annee,,,68 (-16)
85,189,Max Power,10 (189) Bonne annee,,,73 (-12)
86,176,Tribe,11 (176) Bonne annee,,,79 (-7)
87,175,Votre équipe du CA,2 (175) Attache t'ajjuq,,,88 (1)
88,175,Ale-Mah,2 (175) La Viree,,,89 (1)
89,171,P'tits poulets,59 (115) Movember,6 (56) Victo Bowl,,92 (3)
90,164,Boyz,12 (164) La Flotte,,,84 (-6)
91,152,Cougars,5 (76) CEQU4 Carleton,5 (76) CEQU4 Gaspe,,71 (-20)
92,147,Thunder,51 (147) Coup de Foudre,19 (0) Victo Bowl,,111 (19)
93,143,White noise,14 (143) La Flotte,115 (0) Mars Attaque,,91 (-2)
94,134,Sangria Ultimate Club,58 (119) Movember,36 (15) Bonne annee,,115 (21)
95,134,Moving Castle,15 (134) Bonne annee,,,93 (-2)
96,131,Morues,3 (131) CEQU4 Gaspe,,,95 (-1)
97,131,Bars Rayés,3 (131) CEQU4 Carleton,,,96 (-1)
98,131,Grues d'Acajou,3 (131) La Viree,,,97 (-1)
99,125,Benny and the Jets,16 (125) Bonne annee,,,98 (-1)
100,117,J'passe partout,17 (117) Oktober Disk,,,100 (0)
101,117,Squeezlock,17 (117) Bonne annee,,,101 (0)
102,116,Tire-bouchon,27 (104) Oktober Disk,9 (12) Victo Bowl,,94 (-8)
103,112,Oeufs poachés,61 (108) Movember,39 (4) Oktober Disk,,114 (11)
104,105,Kamikaze,62 (105) Movember,,,123 (19)
105,102,Révolution de l'empire de la roche royale,19 (102) Oktober Disk,,,108 (3)
