
1, Doublewide
2, Johnny Bravo
3, PoNY
4, Truck Stop
5, Rhino
6, Prairie Fire
7, Madison Club
8, Plex
9, Florida United
10, Voodoo
11, Madcow
12, Cash Crop
13, Phoenix
14, Chicago Club
15, Condors
16, Lancaster
