Pos,Pts,Team name,Best,2nd best,3rd best,Provenance
57,294,Citrons pressés,9 (164) Oktober Disk,40 (74) Movember,56 (56) Mars Attaque,St-Jean-sur-Richelieu
58,285,G's Pot,4 (285) Bonne annee,,,Guelph
59,285,Notorious slugs,4 (285) Fun E nuF,,,Fredericton
60,282,DisTrakFUL,7 (206) Oktober Disk,44 (41) Movember,74 (35) Mars Attaque,Repentigny
61,281,Nostalgia,24 (281) Bye Bye,,,Montréal
62,280,Pouliches volantes,6 (280) Fun E nuF,,,Rimouski
63,256,Watch the Thrown,5 (256) Bonne annee,,,Ottawa
64,206,Team Great Parking,7 (206) Fun E nuF,,,Moncton
65,202,OrdéHum,29 (202) Mars Attaque,,,Québec
66,198,Paix et Sérénité,17 (198) La Flotte,,,Rimouski
67,195,Alizé,9 (164) Fun E nuF,78 (31) Mars Attaque,,Amqui
68,193,Booms,15 (124) Oktober Disk,42 (57) Coup de Foudre,94 (12) Mars Attaque,"Sherbrooke,Montréal,Saguenay"
69,184,Wernesgruner,8 (184) Oktober Disk,28 (0) Bonne annee,,"Saguenay-Lac-St-Jean,Sherbrooke,Québec"
70,174,Jeundz,31 (174) Mars Attaque,,,Quebec
71,168,Bleu Marin,11 (129) Fun E nuF,71 (39) Mars Attaque,,Gaspé
72,160,Nordet,21 (126) La Flotte,81 (27) Mars Attaque,49 (7) Bye Bye,Rimouski
73,149,Robot Rock,33 (149) Movember,,,Montréal
74,143,Team You-Hou,14 (86) Oktober Disk,42 (57) Movember,,St-Jean-sur-Richelieu
75,133,Double zebras,38 (93) Bye Bye,70 (40) Mars Attaque,,"Trois-Rivières,Québec"
76,130,Grues d’acajou,24 (82) La Flotte,43 (48) Movember,51 (0) Bye Bye,Saguenay
77,118,Cocktail,51 (61) Mars Attaque,42 (57) Bye Bye,,Québec
78,114,UMCE,12 (114) Fun E nuF,,,Edmundston
79,114,Delta Force,12 (114) Bonne annee,,,Sherbrooke
80,110,Match and mix,22 (110) La Flotte,,,"Sherbrooke,Montréal"
81,103,Mofos,37 (103) Coup de Foudre,,,Ottawa
82,102,Tortues rapides,15 (74) Fun E nuF,80 (28) Mars Attaque,,"Moncton,Fredericton,Edmundston"
83,101,Dirty spikes,58 (53) Mars Attaque,43 (48) Bye Bye,,Québec
84,99,Saïmiris,13 (99) Oktober Disk,,,St-Jean-sur-Richelieu
85,99,UNB,13 (99) Fun E nuF,,,Fredericton
86,95,Subasko,23 (95) La Flotte,,,Baie des Chaleurs
87,93,Jo lies,38 (93) Mars Attaque,,,Quebec
